2722
11605	1al	2
15916	1b	1
17223	1bno2	1
7810	1c	1
8320	1ca90	3
11963	1cm	1
16191	1cr	3
6794	1d	3
16192	1fe	2
13827	1g	1
10323	1ghz	2
20776	1gw	1
16033	1h	3
6537	1h13	2
17064	1h18n10t	1
13883	1h18n9t	2
10324	1khz	1
10897	1m	3
15596	1m2g	1
5265	1mexn	1
3687	1mgo	1
20302	1mhz	1
17543	1mln	1
13755	1mm	2
6994	1mmin	1
11606	1mn	3
20040	1mn0	1
11720	1mol	1
15431	1mv	1
14185	1n	1
20734	1owk	1
20375	1rei	1
9231	1s	1
21028	1sr	1
14520	1t	1
5517	1x10	4
20816	1x1017cm	1
22510	1x1017na	1
18471	1x1022cm3exp	1
116	2	521
1161	20	88
4600	200	31
3612	2000	24
10972	2000000	1
1479	2000c	1
11614	2000k	1
13828	2000oc	1
9538	2001	5
12083	2002	13
19420	2002r	1
16233	2003	4
20484	2004	6
17960	2005	3
22356	2006	1
10438	200c	6
3661	200hz	1
21505	200mhz	1
10610	200s	1
18010	2010	2
20106	2015	1
15207	203000c	1
12846	204	1
15223	2050c	1
5481	207ń60	1
13899	2080	1
18434	2091	1
9581	20c	5
8582	20c.ph	1
8236	20g	1
20777	20gw	1
10429	20h	1
11286	20h2n4a	1
5399	20hnm	1
8057	20ma	1
21506	20mhz	1
12728	20mlcr	1
18809	20nm	1
9134	20w40	1
1364	21	13
11664	210	2
18557	2100hv0	1
22013	21017cm	1
4387	210po	1
22696	212	1
20408	21300	1
8833	216	2
22643	21st	1
7000	21t	1
2637	22	14
9878	220	5
11575	2200	2
12837	22000	1
18560	2205	2
17009	220c	1
13617	220mw	1
15432	220v	1
4388	226ra	1
11721	228	1
4389	228ra	1
17636	22c	1
22002	22k	1
1856	23	8
6324	230	2
19135	2300cd	1
21525	231	1
8925	232	2
15670	235	1
4774	2356	1
14556	236	1
19102	238487	1
19001	23n	1
16865	23x0	1
4704	24	10
17035	240	2
16161	2400	2
15854	240b	1
14025	24270c	1
22775	245	1
1365	25	53
9508	25'c	1
1781	250	13
9381	2500	3
14081	250000	1
18527	2500s	1
14380	2501	1
8614	250c	2
4705	255	2
11722	25c	2
13974	25h	1
16744	25hgsnaż	1
5400	25hm	1
3477	25kev	1
17904	25mm	1
15015	25oc	1
6924	25w	1
4998	26	7
15733	260	2
9735	2605tca	1
20024	260c	1
17447	261	1
12717	2620	1
21676	263	1
7376	263k	1
22776	267	1
12219	26c	1
15970	26h2mf	2
11370	26ni	1
2533	27	13
16562	270	1
17537	2726	1
17036	275	1
7726	275c	1
5401	28	15
4775	280	2
18849	280c	1
3357	29	4
7277	290d	1
17448	292	1
6488	293	3
7543	293k	1
22003	295k	2
17449	297	1
17430	29si	1
12679	2ca5	1
7147	2cl	1
9558	2co	1
5132	2cr	7
6795	2d	11
13484	2e28m	1
14898	2ev	1
11474	2h	1
19988	2h13	2
17637	2hz	1
10114	2j	1
13036	2k	3
16996	2l	1
5266	2me2x	1
20303	2mhz	1
5133	2mo	3
21121	2moscs	1
19589	2mpa	1
19002	2n	1
18352	2nb	3
16034	2nicrmo	1
18638	2o1	1
6612	2o4	1
15345	2oh	1
15652	2os	1
22612	2pmlf	1
8615	2re	1
8269	2sgi	1
22777	2si	1
21122	2sn	1
16997	2t	1
16881	2te	1
11371	2ti	2
16734	2ws	1
17224	2x	1
10430	2x10	1
22511	2x1017na	1
11420	2x1019	1
18147	2x16	1
20280	2x2	1
12542	2xo11	1
22503	2xxx	1
399	3	431
1556	30	82
1857	300	26
12838	3000	6
21048	30000	1
15751	3000c	1
15208	3000cm	1
12891	3001	1
5167	3004	2
8168	300a	1
5200	300c	10
19050	300e	1
17707	300k	1
20778	300kv	1
8733	300kwadrat	1
15707	300m	1
15135	300oc	1
19989	300s	1
7811	30170c	1
10182	303	1
8169	304	1
16918	3042	1
1661	304l	1
15724	3070	1
7243	30c	2
15708	30hgsna	1
16745	30hgsnaż	1
22533	30i	1
12009	30plmm	1
10100	30s	1
5402	31	9
5705	310	3
22014	31018cm	1
13919	3104	2
21033	31092	1
8507	311	2
8170	31254	1
14524	312c	1
10183	313	1
13876	314	2
11723	315	1
8171	316	4
11769	316743	1
1662	316l	12
5068	32	12
3662	320	3
13441	3200	1
14082	32000000	1
3663	320am	1
18148	320f28xxx	1
10184	322	1
7377	323k	1
6925	325	1
15826	3251	1
7727	325c	1
22040	32crmov12	1
1075	32j	1
11174	32m	1
4536	33	11
6489	333k	1
20041	334	1
16063	335	1
14384	3382	1
12746	33v2o5	1
3706	34	4
11724	340	2
17708	340k	1
21526	349	1
14755	34gs	1
15971	34hnm	2
5403	35	17
12784	350	9
13692	35000	1
14899	3500k	1
10494	350c	3
13603	350k	1
19842	3520	1
4681	359	2
9253	359m	1
6263	35c	2
16977	35nb	1
3727	35s	1
13771	35x55	1
4794	36	10
2312	360	4
19990	3600s	1
19838	36b	1
7310	37	2
12708	370k	1
17160	37c	2
9425	38	4
7001	380	1
18514	3800	2
16866	3818	1
3975	382ieee	1
16867	3876	1
